context,id_a,id_b,title_a,title_b,key_a,key_b,grid_dist_3d,cosine_sim,harmonic_tier,edge_kind,edge_strength,is_thread
warm-up,20,72,Hit The Ground  (Extended Mix),Where the Subtle Meets Infinity (Original Mix),6A,1A,1,0.9412,,none,0,0
warm-up,25,26,It's A Memory (Amtrac Remix),It's Not Enough feat. Janai (Original Mix),2A,4A,0.7071,0.5834,,none,0,0
warm-up,25,28,It's A Memory (Amtrac Remix),Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),2A,9A,0.7071,0.5647,,none,0,0
warm-up,25,29,It's A Memory (Amtrac Remix),Just a Bitter Love,2A,6A,0.4104,0.8856,,none,0,0
warm-up,25,31,It's A Memory (Amtrac Remix),Lost,2A,6A,0.5077,0.8697,,none,0,0
warm-up,25,32,It's A Memory (Amtrac Remix),Love Somebody Else Feat. Joi Cardwell (Original Mix),2A,12B,0.7071,0.6596,,none,0,0
warm-up,25,33,It's A Memory (Amtrac Remix),Love Song (Original Mix),2A,8A,0.7071,0.6282,,none,0,0
warm-up,25,34,It's A Memory (Amtrac Remix),Lucky Shot (Original Mix),2A,7A,1.1414,0.7458,,none,0,0
warm-up,25,41,It's A Memory (Amtrac Remix),Night Blooming Jasmine (Original Mix),2A,4A,0.7682,0.4959,,none,0,0
warm-up,25,60,It's A Memory (Amtrac Remix),Teardrops (Don't Stop The Music) (Original Mix),2A,5B,0.7682,0.6747,,none,0,0
warm-up,25,66,It's A Memory (Amtrac Remix),Walk The Line (Extended Mix),2A,9A,0.7071,0.5534,,none,0,0
warm-up,25,68,It's A Memory (Amtrac Remix),We Are Child Of Love (The Mekanism Remix),2A,12A,1,0.7676,,none,0,0
warm-up,25,72,It's A Memory (Amtrac Remix),Where the Subtle Meets Infinity (Original Mix),2A,1A,0.7071,0.5223,adjacent,harmonic,0.7,1
warm-up,26,28,It's Not Enough feat. Janai (Original Mix),Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),4A,9A,0,0.9978,,none,0,0
warm-up,26,29,It's Not Enough feat. Janai (Original Mix),Just a Bitter Love,4A,6A,0.356,0.7348,,none,0,0
warm-up,26,31,It's Not Enough feat. Janai (Original Mix),Lost,4A,6A,0.4118,0.7162,,none,0,0
warm-up,26,32,It's Not Enough feat. Janai (Original Mix),Love Somebody Else Feat. Joi Cardwell (Original Mix),4A,12B,0,0.3531,,none,0,0
warm-up,26,33,It's Not Enough feat. Janai (Original Mix),Love Song (Original Mix),4A,8A,0,0.9286,,none,0,0
warm-up,26,34,It's Not Enough feat. Janai (Original Mix),Lucky Shot (Original Mix),4A,7A,0.9122,0.6035,,none,0,0
warm-up,26,41,It's Not Enough feat. Janai (Original Mix),Night Blooming Jasmine (Original Mix),4A,4A,0.3003,0.494,same,harmonic,1,1
warm-up,26,60,It's Not Enough feat. Janai (Original Mix),Teardrops (Don't Stop The Music) (Original Mix),4A,5B,0.3003,0.8312,,none,0,0
warm-up,26,66,It's Not Enough feat. Janai (Original Mix),Walk The Line (Extended Mix),4A,9A,0,0.4517,,none,0,0
warm-up,26,68,It's Not Enough feat. Janai (Original Mix),We Are Child Of Love (The Mekanism Remix),4A,12A,0.7071,0.6248,,none,0,0
warm-up,26,72,It's Not Enough feat. Janai (Original Mix),Where the Subtle Meets Infinity (Original Mix),4A,1A,1,0.8034,,none,0,0
warm-up,28,29,Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),Just a Bitter Love,9A,6A,0.356,0.7145,,none,0,0
warm-up,28,31,Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),Lost,9A,6A,0.4118,0.6975,,none,0,0
warm-up,28,32,Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),Love Somebody Else Feat. Joi Cardwell (Original Mix),9A,12B,0,0.3302,,none,0,0
warm-up,28,33,Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),Love Song (Original Mix),9A,8A,0,0.9078,adjacent,harmonic,0.7,1
warm-up,28,34,Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),Lucky Shot (Original Mix),9A,7A,0.9122,0.5824,,none,0,0
warm-up,28,41,Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),Night Blooming Jasmine (Original Mix),9A,4A,0.3003,0.4916,,none,0,0
warm-up,28,60,Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),Teardrops (Don't Stop The Music) (Original Mix),9A,5B,0.3003,0.8105,,none,0,0
