id_a,id_b,distance
9,46,1.3899
9,47,0.0832
9,48,0.5831
9,49,0.3116
9,50,1.2187
9,51,0.0618
9,52,0.3116
9,53,1.223
9,54,0.6371
9,55,1.3288
9,56,0.6991
9,57,0.3116
9,58,1.3164
9,59,0.8495
9,60,0.0832
9,61,1.0049
9,62,1.2187
9,63,0.6063
9,64,0.6063
9,65,1.1972
9,66,0.6063
9,67,2.1454
9,68,0.866
9,69,1.118
9,70,1.0017
9,71,1.1455
9,72,1.2187
9,73,0.8514
10,11,0.5832
10,12,0.6344
10,13,0.5832
10,14,0.3074
10,15,0.5832
10,16,0.4412
10,17,0.8199
10,18,0.5544
10,19,1.1792
10,20,0.5832
10,21,0.5832
10,22,0.7306
10,23,0.5017
10,24,0.587
10,25,0.5
10,26,0.5
10,27,0.669
10,28,0.5832
10,29,0.3655
10,30,0.6866
10,31,0.0882
10,32,0.5832
10,33,0.5
10,34,1.0918
10,35,1.0478
10,36,0.5
10,37,0.6344
10,38,0.5862
10,39,0.7903
10,40,1.5298
10,41,0.5
10,42,0.5832
10,43,0.5832
10,44,0.5832
10,45,0.3849
10,46,0.838
10,47,0.5832
10,48,0.6644
10,49,0.5
10,50,1.1577
10,51,0.6179
10,52,0.5
10,53,0.5862
10,54,0.7071
10,55,0.6934
10,56,0.714
10,57,0.5
10,58,0.6809
10,59,1.129
10,60,0.5832
10,61,1.068
10,62,0.5832
10,63,0.5832
10,64,0.5832
10,65,0.7682
10,66,0.5832
10,67,1.5298
10,68,1.1577
10,69,1.1577
10,70,0.5337
10,71,0.7313
10,72,0.5832
10,73,1.1324
11,12,1.2173
11,13,0.6006
11,14,0.5327
11,15,0.6006
11,16,0.9879
11,17,1.2071
11,18,0.7792
11,19,1.0516
11,20,0.6006
11,21,0.6006
11,22,1.197
11,23,1.0449
11,24,1.1684
11,25,0.7682
11,26,0.3003
11,27,0.5364
11,28,0.6006
11,29,0.356
11,30,0.5582
11,31,0.5096
11,32,0
11,33,0.3003
11,34,0.7494
11,35,1.237
11,36,0.3003
11,37,1.2173
11,38,1.168
11,39,0.8032
11,40,2.0882
11,41,0.3003
11,42,0.6006
11,43,0.6006
11,44,0.6006
11,45,0.9292
11,46,1.3593
11,47,0
11,48,0.5306
11,49,0.3003
11,50,1.1665
11,51,0.04
11,52,0.3003
11,53,1.168
11,54,0.5832
11,55,1.2753
11,56,0.7282
11,57,0.3003
11,58,1.263
11,59,0.9102
11,60,0
11,61,1.0516
11,62,1.1665
11,63,0.6006
11,64,0.6006
11,65,1.118
11,66,0.6006
11,67,2.0882
11,68,0.9278
11,69,1.1665
11,70,0.9412
11,71,1.0657
11,72,1.1665
11,73,0.9122
12,13,1.0588
12,14,0.8028
12,15,1.0588
12,16,0.3225
12,17,0.746
12,18,0.8565
12,19,1.5785
12,20,1.0588
12,21,1.0588
12,22,0.5582
12,23,0.3088
12,24,0.0889
12,25,0.8078
12,26,1.1006
12,27,1.1869
12,28,1.0588
12,29,0.9501
12,30,1.197
12,31,0.7133
12,32,1.2173
12,33,1.1006
12,34,1.6369
12,35,1.1911
12,36,1.1006
12,37,0
12,38,0.0832
12,39,1.1856
12,40,0.9412
12,41,1.1006
12,42,1.0588
12,43,1.0588
12,44,1.0588
12,45,0.3627
12,46,0.4752
12,47,1.2173
12,48,1.1844
12,49,1.1006
12,50,1.4564
12,51,1.2523
12,52,1.1006
12,53,0.0832
12,54,1.2088
12,55,0.0662
12,56,1.1361
12,57,1.1006
12,58,0.0523
12,59,1.6053
12,60,1.2173
12,61,1.4008
12,62,0.0588
12,63,1.0588
12,64,1.0588
12,65,0.7837
12,66,1.0588
12,67,0.9412
12,68,1.637
12,69,1.4564
12,70,0.612
12,71,0.7903
12,72,0.0588
12,73,1.6091
13,14,0.8028
13,15,0
13,16,0.9879
13,17,1.3482
13,18,0.9838
13,19,1.0516
13,20,0
13,21,0
13,22,1.197
13,23,1.0449
13,24,1.0022
13,25,0.7682
13,26,0.3003
13,27,0.5364
13,28,0
13,29,0.6982
13,30,0.5582
13,31,0.5096
13,32,0.6006
13,33,0.3003
13,34,0.7494
13,35,1.0815
13,36,0.3003
13,37,1.0588
13,38,1.0017
13,39,0.5333
13,40,2
13,41,0.3003
13,42,0
13,43,0
13,44,0
13,45,0.9292
13,46,1.2195
13,47,0.6006
13,48,0.5306
13,49,0.3003
13,50,1
13,51,0.6019
13,52,0.3003
13,53,1.0017
13,54,0.5832
13,55,1.125
13,56,0.4118
13,57,0.3003
13,58,1.1111
13,59,0.6839
13,60,0.6006
13,61,1.0516
13,62,1
13,63,0
13,64,0
13,65,1.2691
13,66,0
13,67,2
13,68,0.7071
13,69,1
13,70,1.1165
13,71,1.2233
13,72,1
13,73,0.6866
14,15,0.8028
14,16,0.513
14,17,0.7058
14,18,0.4012
14,19,1.185
14,20,0.8028
14,21,0.8028
14,22,0.8067
14,23,0.5672
14,24,0.7733
14,25,0.5345
14,26,0.6115
14,27,0.7205
14,28,0.8028
14,29,0.2069
14,30,0.8067
14,31,0.3278
14,32,0.5327
14,33,0.6115
14,34,1.1335
14,35,1.1227
14,36,0.6115
14,37,0.8028
14,38,0.772
14,39,0.9307
14,40,1.5896
14,41,0.6115
14,42,0.8028
14,43,0.8028
14,44,0.8028
14,45,0.4805
14,46,0.9407
14,47,0.5327
14,48,0.7854
14,49,0.6115
14,50,1.3274
14,51,0.5724
14,52,0.6115
14,53,0.772
14,54,0.8263
14,55,0.8479
14,56,0.875
14,57,0.6115
14,58,0.8382
14,59,1.244
14,60,0.5327
14,61,1.0675
14,62,0.7653
14,63,0.8028
14,64,0.8028
14,65,0.7306
14,66,0.8028
14,67,1.5896
14,68,1.2708
14,69,1.2356
14,70,0.4159
14,71,0.6941
14,72,0.7653
14,73,1.2471
15,16,0.9879
15,17,1.3482
15,18,0.9838
15,19,1.0516
15,20,0
15,21,0
15,22,1.197
15,23,1.0449
15,24,1.0022
15,25,0.7682
15,26,0.3003
15,27,0.5364
15,28,0
15,29,0.6982
15,30,0.5582
15,31,0.5096
15,32,0.6006
15,33,0.3003
15,34,0.7494
15,35,1.0815
15,36,0.3003
15,37,1.0588
15,38,1.0017
15,39,0.5333
15,40,2
15,41,0.3003
15,42,0
15,43,0
15,44,0
15,45,0.9292
15,46,1.2195
15,47,0.6006
15,48,0.5306
15,49,0.3003
15,50,1
15,51,0.6019
15,52,0.3003
15,53,1.0017
15,54,0.5832
15,55,1.125
15,56,0.4118
15,57,0.3003
15,58,1.1111
15,59,0.6839
15,60,0.6006
15,61,1.0516
15,62,1
15,63,0
15,64,0
15,65,1.2691
15,66,0
15,67,2
15,68,0.7071
15,69,1
15,70,1.1165
15,71,1.2233
15,72,1
15,73,0.6866
16,17,0.5616
16,18,0.6152
16,19,1.4618
16,20,0.9879
16,21,0.9879
16,22,0.4851
16,23,0.0721
16,24,0.3132
16,25,0.6668
16,26,0.9412
16,27,1.0408
16,28,0.9879
16,29,0.6894
16,30,1.0523
16,31,0.5294
16,32,0.9879
16,33,0.9412
16,34,1.4977
16,35,1.1707
16,36,0.9412
16,37,0.3225
16,38,0.3116
16,39,1.1227
16,40,1.1006
16,41,0.9412
16,42,0.9879
16,43,0.9879
16,44,0.9879
